Field Name,Field Type,Description,Options/Formula
id,Auto Number,Primary key,
RequestId,Single Line Text,Unique request identifier (RF-timestamp),
ClientEmail,Email,Client/requester email,
ClientName,Single Line Text,Client name,
Organization,Single Line Text,Organization name,
Country,Link to Another Record,Link to Countries table,
Country Name,Lookup,Lookup from Country link,
Tier,Link to Another Record,Link to Tiers table,
Tier Name,Lookup,Lookup from Tier link,
Company Size,Link to Another Record,Link to Company Sizes table,
Company Size Name,Lookup,Lookup from Company Size link,
Implementation Time Frame,Link to Another Record,Link to Time Frames table,
Time Frame Name,Lookup,Lookup from Time Frame link,
Language,Link to Another Record,Link to Languages table,
Language Name,Lookup,Lookup from Language link,
Reform Topic,Long Text,Main reform topic/focus area,
Current Situation,Long Text,Description of current state,
Desired Outcome,Long Text,Expected outcomes and goals,
Key Challenges,Long Text,Major obstacles identified,
Stakeholders,Long Text,Key stakeholders involved,
Budget Range,Single Select,"<$100K,$100K-$500K,$500K-$1M,$1M-$5M,$5M+"
Priority,Single Select,"Critical,High,Medium,Low"
Status,Single Select,"Draft,Pending Review,Approved,In Progress,Completed,Rejected,On Hold"
Approval State,Single Select,"Not Submitted,Pending Approval,Approved,Rejected,Changes Requested"
Report HTML,Long Text,Generated HTML report content,
Report JSON,Long Text,JSON data for report regeneration,
AI Summary,Long Text,AI-generated executive summary,
Recommendations,Long Text,AI-generated recommendations,
Risk Assessment,Long Text,Risk analysis JSON,
Implementation Plan,Long Text,Implementation roadmap JSON,
Generated At,Date,When report was generated,
Submitted At,Date,When submitted for approval,
Approved At,Date,Approval timestamp,
Rejected At,Date,Rejection timestamp,
Finalized At,Date,Final approval timestamp,
Exported At,Date,Last export timestamp,
Downloaded At,Date,Last download timestamp,
Changes Requested At,Date,Changes request timestamp,
Approval Requested By,Email,Who requested approval,
Approval Requested At,Date,Approval request timestamp,
Approved By,Email,Approver email,
Rejected By,Email,Rejector email,
Approver Name,Single Line Text,Approver display name,
Preparer Name,Single Line Text,Report preparer name,
Approval Notes,Long Text,Notes from approval request,
Decision Notes,Long Text,Approver decision notes,
Version,Number,Report version number,
Created At,Date,Record creation timestamp,
Last Modified,Date,Last modification timestamp,
Created By,Email,Creator email,
Tags,Multiple Select,"Urgent,Strategic,Compliance,Budget,Staffing,Technology,Policy"
Attachments,Attachment,Supporting documents,
S3 URL,URL,S3 storage URL for PDF,
