Field Name,Field Type,Description,Options/Formula
id,Auto Number,Primary key,
RequestId,Single Line Text,Unique request identifier (DEF-timestamp),
ClientEmail,Email,Client/requester email,
ClientName,Single Line Text,Client name,
Organization,Single Line Text,Defense agency/contractor name,
Country,Link to Another Record,Link to Countries table,
Country Name,Lookup,Lookup from Country link,
Classification,Single Select,"UNCLASSIFIED,CUI,CONFIDENTIAL,SECRET,TOP SECRET"
Program Name,Single Line Text,Defense program name,
Mission Type,Single Select,"Combat,Intelligence,Logistics,Training,R&D,Cyber,Space"
Branch,Single Select,"Army,Navy,Air Force,Marines,Coast Guard,Space Force,Joint,Allied"
Threat Category,Single Select,"Near-Peer,Regional,Asymmetric,Cyber,Hybrid,WMD"
Language,Link to Another Record,Link to Languages table,
Language Name,Lookup,Lookup from Language link,
Mission Objective,Long Text,Primary mission objective,
Current Capabilities,Long Text,Existing capabilities assessment,
Capability Gaps,Long Text,Identified gaps and shortfalls,
Threat Assessment,Long Text,Threat environment analysis,
Resource Requirements,Long Text,Personnel/equipment/funding needs,
Timeline,Single Select,"Immediate,30 Days,90 Days,6 Months,1 Year,Multi-Year"
Budget Range,Single Select,"<$1M,$1M-$10M,$10M-$100M,$100M-$1B,$1B+"
Priority,Single Select,"Critical,High,Medium,Low"
Status,Single Select,"Draft,Intel Review,Command Review,Approved,Active,Completed,Archived"
Approval State,Single Select,"Not Submitted,Pending Approval,Approved,Rejected,Changes Requested"
Report HTML,Long Text,Generated HTML report content,
Report JSON,Long Text,JSON data for report regeneration,
AI Summary,Long Text,AI-generated executive summary,
Threat Analysis,Long Text,AI threat analysis JSON,
Recommendations,Long Text,AI-generated recommendations,
Risk Matrix,Long Text,Risk assessment matrix JSON,
Operational Plan,Long Text,Operational planning JSON,
Force Structure,Long Text,Force requirements JSON,
Generated At,Date,When report was generated,
Submitted At,Date,When submitted for approval,
Approved At,Date,Approval timestamp,
Rejected At,Date,Rejection timestamp,
Finalized At,Date,Final approval timestamp,
Exported At,Date,Last export timestamp,
Downloaded At,Date,Last download timestamp,
Changes Requested At,Date,Changes request timestamp,
Approval Requested By,Email,Who requested approval,
Approval Requested At,Date,Approval request timestamp,
Approved By,Email,Approver email,
Rejected By,Email,Rejector email,
Approver Name,Single Line Text,Approver display name,
Preparer Name,Single Line Text,Report preparer name,
Approval Notes,Long Text,Notes from approval request,
Decision Notes,Long Text,Approver decision notes,
Classification Marking,Single Line Text,Full classification marking,
Handling Caveats,Multiple Select,"NOFORN,REL TO,ORCON,PROPIN,FOUO"
Version,Number,Report version number,
Created At,Date,Record creation timestamp,
Last Modified,Date,Last modification timestamp,
Created By,Email,Creator email,
Attachments,Attachment,Supporting documents,
S3 URL,URL,S3 storage URL for PDF,
