Field Name,Field Type,Description,Options/Formula
id,Auto Number,Primary key,
incident_id,Single Line Text,Unique incident ID (INC-timestamp),
title,Single Line Text,Brief incident title,
description,Long Text,Detailed incident description,
category,Single Select,Incident category,"DATA_BREACH,UNAUTHORIZED_ACCESS,MALWARE,DDOS,PHISHING,INSIDER_THREAT,VULNERABILITY,POLICY_VIOLATION,SYSTEM_FAILURE,OTHER"
severity,Single Select,Incident severity,"CRITICAL,HIGH,MEDIUM,LOW"
status,Single Select,Current status,"open,investigating,contained,eradicated,recovered,closed"
reporter_email,Email,Who reported the incident,
reporter_name,Single Line Text,Reporter name,
affected_systems,Long Text,JSON array of affected systems,
affected_users_count,Number,Number of users affected,
response_team,Long Text,JSON array of assigned responders,
timeline,Long Text,JSON array of timeline events,
root_cause,Long Text,Determined root cause,
resolution,Long Text,How incident was resolved,
lessons_learned,Long Text,Post-incident learnings,
is_phi_breach,Checkbox,HIPAA PHI breach indicator,
individuals_affected,Number,Number of individuals (HIPAA breach),
hhs_notified,Checkbox,HHS notification sent (HIPAA),
hhs_notification_date,Date,Date HHS was notified,
individuals_notified,Checkbox,Affected individuals notified,
notification_date,Date,Date notifications sent,
created_at,Date,Incident creation timestamp,
updated_at,Date,Last update timestamp,
contained_at,Date,When threat was contained,
eradicated_at,Date,When threat was eradicated,
recovered_at,Date,When systems recovered,
closed_at,Date,When incident was closed,
closed_by,Email,Who closed the incident,
