Field Name,Field Type,Description,Options/Formula
id,Auto Number,Primary key,
RequestId,Single Line Text,Unique request identifier (FIN-timestamp),
ClientEmail,Email,Client/requester email,
ClientName,Single Line Text,Client name,
Organization,Single Line Text,Financial institution name,
Country,Link to Another Record,Link to Countries table,
Country Name,Lookup,Lookup from Country link,
Institution Type,Single Select,"Commercial Bank,Investment Bank,Asset Manager,Hedge Fund,Insurance,PE/VC,Fintech,Credit Union"
Regulatory Framework,Multiple Select,"Basel III/IV,DORA,MiCA,SOX,PCI-DSS,GDPR,CCPA,AML/BSA"
Analysis Type,Single Select,"Risk Assessment,AML Review,Fraud Detection,Portfolio Analysis,Stress Testing,Compliance Audit"
Language,Link to Another Record,Link to Languages table,
Language Name,Lookup,Lookup from Language link,
Analysis Objective,Long Text,Primary analysis objective,
Current Risk Posture,Long Text,Current risk assessment,
Portfolio Overview,Long Text,Portfolio composition summary,
Market Exposure,Long Text,Market risk exposure analysis,
Credit Exposure,Long Text,Credit risk exposure analysis,
Operational Risks,Long Text,Operational risk assessment,
AUM/Assets,Currency,Assets under management,
Revenue Impact,Currency,Potential revenue impact,
Timeline,Single Select,"Immediate,1 Week,1 Month,1 Quarter,1 Year"
Priority,Single Select,"Critical,High,Medium,Low"
Status,Single Select,"Draft,Risk Review,Compliance Review,Approved,Active,Completed,Archived"
Approval State,Single Select,"Not Submitted,Pending Approval,Approved,Rejected,Changes Requested"
Report HTML,Long Text,Generated HTML report content,
Report JSON,Long Text,JSON data for report regeneration,
AI Summary,Long Text,AI-generated executive summary,
Recommendations,Long Text,AI-generated recommendations,
Risk Matrix,Long Text,Risk assessment matrix JSON,
VaR Analysis,Long Text,Value at Risk analysis JSON,
Stress Test Results,Long Text,Stress testing scenarios JSON,
AML Findings,Long Text,AML/KYC findings JSON,
Regulatory Gaps,Long Text,Compliance gaps JSON,
Generated At,Date,When report was generated,
Submitted At,Date,When submitted for approval,
Approved At,Date,Approval timestamp,
Rejected At,Date,Rejection timestamp,
Finalized At,Date,Final approval timestamp,
Exported At,Date,Last export timestamp,
Downloaded At,Date,Last download timestamp,
Changes Requested At,Date,Changes request timestamp,
Approval Requested By,Email,Who requested approval,
Approval Requested At,Date,Approval request timestamp,
Approved By,Email,Approver email,
Rejected By,Email,Rejector email,
Approver Name,Single Line Text,Approver display name,
Preparer Name,Single Line Text,Report preparer name,
Approval Notes,Long Text,Notes from approval request,
Decision Notes,Long Text,Approver decision notes,
Version,Number,Report version number,
Created At,Date,Record creation timestamp,
Last Modified,Date,Last modification timestamp,
Created By,Email,Creator email,
Attachments,Attachment,Supporting documents,
S3 URL,URL,S3 storage URL for PDF,
