Field Name,Field Type,Description,Options/Formula
id,Auto Number,Primary key,
RequestId,Single Line Text,Unique request identifier (LOG-timestamp),
ClientEmail,Email,Client/requester email,
ClientName,Single Line Text,Client name,
Organization,Single Line Text,Logistics company name,
Country,Link to Another Record,Link to Countries table,
Country Name,Lookup,Lookup from Country link,
Business Type,Single Select,"3PL,4PL,Carrier,Freight Forwarder,Shipper,Warehouse,Last Mile"
Transport Mode,Multiple Select,"Truckload,LTL,Rail,Ocean,Air,Intermodal,Parcel"
Analysis Type,Single Select,"Route Optimization,Demand Forecast,Inventory Optimization,Carrier Selection,Cost Reduction,Visibility"
Compliance Framework,Multiple Select,"C-TPAT,AEO,ISO 28000,FMCSA,TSA,CBP"
Language,Link to Another Record,Link to Languages table,
Language Name,Lookup,Lookup from Language link,
Analysis Objective,Long Text,Primary analysis objective,
Shipment Volume,Number,Annual shipment volume,
On-Time Delivery,Percent,Current OTD rate,
Freight Spend,Currency,Annual freight spend,
Warehouse Count,Number,Number of facilities,
Carrier Count,Number,Number of carriers,
Average Transit Time,Number,Average transit days,
Timeline,Single Select,"Immediate,1 Week,1 Month,1 Quarter,6 Months"
Budget Range,Single Select,"<$100K,$100K-$500K,$500K-$2M,$2M-$10M,$10M+"
Priority,Single Select,"Critical,High,Medium,Low"
Status,Single Select,"Draft,Operations Review,Executive Review,Approved,Implementation,Completed"
Approval State,Single Select,"Not Submitted,Pending Approval,Approved,Rejected,Changes Requested"
Report HTML,Long Text,Generated HTML report content,
Report JSON,Long Text,JSON data for report regeneration,
AI Summary,Long Text,AI-generated executive summary,
Recommendations,Long Text,AI-generated recommendations,
Risk Assessment,Long Text,Risk analysis JSON,
Route Analysis,Long Text,Route optimization JSON,
Demand Forecast,Long Text,Demand prediction JSON,
Inventory Plan,Long Text,Inventory optimization JSON,
Carrier Scorecard,Long Text,Carrier performance JSON,
Cost Analysis,Long Text,Cost breakdown JSON,
Generated At,Date,When report was generated,
Submitted At,Date,When submitted for approval,
Approved At,Date,Approval timestamp,
Rejected At,Date,Rejection timestamp,
Finalized At,Date,Final approval timestamp,
Exported At,Date,Last export timestamp,
Downloaded At,Date,Last download timestamp,
Changes Requested At,Date,Changes request timestamp,
Approval Requested By,Email,Who requested approval,
Approval Requested At,Date,Approval request timestamp,
Approved By,Email,Approver email,
Rejected By,Email,Rejector email,
Approver Name,Single Line Text,Approver display name,
Preparer Name,Single Line Text,Report preparer name,
Approval Notes,Long Text,Notes from approval request,
Decision Notes,Long Text,Approver decision notes,
Version,Number,Report version number,
Created At,Date,Record creation timestamp,
Last Modified,Date,Last modification timestamp,
Created By,Email,Creator email,
Attachments,Attachment,Supporting documents,
S3 URL,URL,S3 storage URL for PDF,
