Field Name,Field Type,Description,Options/Formula
id,Auto Number,Primary key,
organization_id,Single Line Text,Organization identifier,
provider,Single Select,SSO provider type,"azure,google,okta,auth0,onelogin,saml"
provider_name,Single Line Text,Display name for provider,
client_id,Single Line Text,OAuth client ID (encrypted),
client_secret,Single Line Text,OAuth client secret (encrypted),
tenant_id,Single Line Text,Azure AD tenant ID,
domain,Single Line Text,Google Workspace domain,
okta_domain,Single Line Text,Okta organization domain,
auth0_domain,Single Line Text,Auth0 tenant domain,
saml_entry_point,URL,SAML IdP entry point URL,
saml_issuer,Single Line Text,SAML issuer/entity ID,
saml_certificate,Long Text,SAML X.509 certificate,
redirect_uri,URL,OAuth callback URL,
scopes,Single Line Text,OAuth scopes requested,
is_active,Checkbox,Whether SSO is enabled,
is_default,Checkbox,Default SSO for organization,
allow_password_fallback,Checkbox,Allow password login if SSO fails,
created_at,Date,Record creation timestamp,
updated_at,Date,Last modification timestamp,
created_by,Email,Admin who created config,
last_tested_at,Date,Last successful connection test,
test_status,Single Select,Last test result,"success,failed,pending"
