Field Name,Field Type,Description,Options/Formula
id,Auto Number,Primary key,
flag_key,Single Line Text,Unique flag identifier,
flag_name,Single Line Text,Human-readable name,
description,Long Text,Flag description,
is_enabled,Checkbox,Global enable/disable,
rollout_percentage,Percent,Percentage rollout (0-100),
target_plans,Multiple Select,Plans with access,"free,starter,professional,enterprise,government"
target_organizations,Long Text,JSON array of org IDs with override,
target_users,Long Text,JSON array of user IDs with override,
start_date,Date,Feature availability start,
end_date,Date,Feature availability end (if temporary),
created_at,Date,Flag creation timestamp,
created_by,Email,Who created the flag,
updated_at,Date,Last update timestamp,
updated_by,Email,Who last updated,
is_experiment,Checkbox,A/B test flag,
experiment_variants,Long Text,JSON array of variants,
default_variant,Single Line Text,Default variant for experiments,
