Field Name,Field Type,Description,Options/Formula
id,Auto Number,Primary key,
RequestId,Single Line Text,Unique request identifier (INS-timestamp),
ClientEmail,Email,Client/requester email,
ClientName,Single Line Text,Client name,
Organization,Single Line Text,Insurance company name,
Country,Link to Another Record,Link to Countries table,
Country Name,Lookup,Lookup from Country link,
Insurance Type,Single Select,"P&C,Life,Health,Reinsurance,Specialty,Commercial,Personal Lines"
Line of Business,Single Select,"Auto,Home,Commercial Property,General Liability,Workers Comp,Professional Liability,Cyber"
Analysis Type,Single Select,"Claims Analysis,Underwriting Review,Fraud Detection,Loss Reserve,Pricing,Catastrophe Modeling"
Regulatory Framework,Multiple Select,"NAIC,SOC 2,State DOI,GDPR,HIPAA,Solvency II"
Language,Link to Another Record,Link to Languages table,
Language Name,Lookup,Lookup from Language link,
Analysis Objective,Long Text,Primary analysis objective,
Premium Volume,Currency,Annual premium volume,
Loss Ratio,Percent,Current loss ratio,
Combined Ratio,Percent,Combined ratio,
Claims Count,Number,Claims volume,
Average Claim Size,Currency,Average claim amount,
Fraud Rate,Percent,Suspected fraud rate,
Timeline,Single Select,"Immediate,1 Week,1 Month,1 Quarter,1 Year"
Priority,Single Select,"Critical,High,Medium,Low"
Status,Single Select,"Draft,Actuarial Review,Underwriting Review,Approved,Active,Completed"
Approval State,Single Select,"Not Submitted,Pending Approval,Approved,Rejected,Changes Requested"
Report HTML,Long Text,Generated HTML report content,
Report JSON,Long Text,JSON data for report regeneration,
AI Summary,Long Text,AI-generated executive summary,
Recommendations,Long Text,AI-generated recommendations,
Risk Assessment,Long Text,Risk analysis JSON,
Claims Analysis,Long Text,Claims patterns JSON,
Fraud Indicators,Long Text,Fraud detection JSON,
Reserve Analysis,Long Text,Loss reserve JSON,
Pricing Model,Long Text,Pricing recommendations JSON,
Cat Model Results,Long Text,Catastrophe modeling JSON,
Generated At,Date,When report was generated,
Submitted At,Date,When submitted for approval,
Approved At,Date,Approval timestamp,
Rejected At,Date,Rejection timestamp,
Finalized At,Date,Final approval timestamp,
Exported At,Date,Last export timestamp,
Downloaded At,Date,Last download timestamp,
Changes Requested At,Date,Changes request timestamp,
Approval Requested By,Email,Who requested approval,
Approval Requested At,Date,Approval request timestamp,
Approved By,Email,Approver email,
Rejected By,Email,Rejector email,
Approver Name,Single Line Text,Approver display name,
Preparer Name,Single Line Text,Report preparer name,
Approval Notes,Long Text,Notes from approval request,
Decision Notes,Long Text,Approver decision notes,
Policy Number,Single Line Text,Reference policy number,
Claim Number,Single Line Text,Reference claim number,
Version,Number,Report version number,
Created At,Date,Record creation timestamp,
Last Modified,Date,Last modification timestamp,
Created By,Email,Creator email,
Attachments,Attachment,Supporting documents,
S3 URL,URL,S3 storage URL for PDF,
