Field Name,Field Type,Description,Options/Formula
id,Auto Number,Primary key,
RequestId,Single Line Text,Unique request identifier (MFG-timestamp),
ClientEmail,Email,Client/requester email,
ClientName,Single Line Text,Client name,
Organization,Single Line Text,Manufacturing company name,
Country,Link to Another Record,Link to Countries table,
Country Name,Lookup,Lookup from Country link,
Industry Sector,Single Select,"Automotive,Aerospace,Electronics,Chemicals,Food & Beverage,Pharmaceuticals,Metals,Plastics,Machinery"
Facility Type,Single Select,"Assembly,Fabrication,Process,Discrete,Batch,Continuous"
Analysis Type,Single Select,"OEE Optimization,Predictive Maintenance,Quality Control,Supply Chain,Capacity Planning,Energy Efficiency"
Compliance Framework,Multiple Select,"ISO 9001,ISO 45001,ISO 14001,IATF 16949,AS9100,FDA GMP,IEC 62443"
Language,Link to Another Record,Link to Languages table,
Language Name,Lookup,Lookup from Language link,
Analysis Objective,Long Text,Primary analysis objective,
Current OEE,Percent,Current Overall Equipment Effectiveness,
Target OEE,Percent,Target OEE improvement,
Production Volume,Number,Annual production volume,
Downtime Hours,Number,Unplanned downtime hours,
Quality Defect Rate,Percent,Current defect rate,
Asset Count,Number,Number of critical assets,
Timeline,Single Select,"Immediate,1 Month,1 Quarter,6 Months,1 Year"
Budget Range,Single Select,"<$100K,$100K-$500K,$500K-$2M,$2M-$10M,$10M+"
Priority,Single Select,"Critical,High,Medium,Low"
Status,Single Select,"Draft,Engineering Review,Operations Review,Approved,Implementation,Completed"
Approval State,Single Select,"Not Submitted,Pending Approval,Approved,Rejected,Changes Requested"
Report HTML,Long Text,Generated HTML report content,
Report JSON,Long Text,JSON data for report regeneration,
AI Summary,Long Text,AI-generated executive summary,
Recommendations,Long Text,AI-generated recommendations,
Risk Assessment,Long Text,Risk analysis JSON,
Maintenance Schedule,Long Text,Predictive maintenance JSON,
Quality Analysis,Long Text,Quality improvement JSON,
Capacity Plan,Long Text,Capacity planning JSON,
Energy Optimization,Long Text,Energy savings JSON,
Generated At,Date,When report was generated,
Submitted At,Date,When submitted for approval,
Approved At,Date,Approval timestamp,
Rejected At,Date,Rejection timestamp,
Finalized At,Date,Final approval timestamp,
Exported At,Date,Last export timestamp,
Downloaded At,Date,Last download timestamp,
Changes Requested At,Date,Changes request timestamp,
Approval Requested By,Email,Who requested approval,
Approval Requested At,Date,Approval request timestamp,
Approved By,Email,Approver email,
Rejected By,Email,Rejector email,
Approver Name,Single Line Text,Approver display name,
Preparer Name,Single Line Text,Report preparer name,
Approval Notes,Long Text,Notes from approval request,
Decision Notes,Long Text,Approver decision notes,
Version,Number,Report version number,
Created At,Date,Record creation timestamp,
Last Modified,Date,Last modification timestamp,
Created By,Email,Creator email,
Attachments,Attachment,Supporting documents,
S3 URL,URL,S3 storage URL for PDF,
